,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Total_Daily_Consumption
2023-07-28,39.151961,37.076921,36.243674,35.829206,35.413523,41.233922,47.478347,55.784105,64.096829,59.957198,57.858884,66.200147,64.135223,62.042588,55.788317,66.16091599999999,66.177359,62.053181,66.194126,64.088918,70.311734,64.088135,57.870197,55.788758,1331.024169
2023-07-29,39.998546000000005,37.496132,36.494567,36.00413,35.491642999999996,42.508871,50.003396,60.046577,70.040843,65.04964100000001,62.536976,72.55528100000001,70.038755,67.557626,60.025742,72.53382500000001,72.551681,67.537214,72.50596999999999,70.035974,77.547635,70.05590000000001,62.524789999999996,60.026021,1431.1677359999999
2023-07-30,40.020578,37.515788,36.505952,35.999378,35.494730000000004,42.543323,50.065019,60.109514,70.167428,65.13038,62.595358999999995,72.67769899999999,70.140491,67.635935,60.109667,72.646334,72.679913,67.644251,72.659744,70.15663699999999,77.73053300000001,70.144973,62.613296,60.111557,1433.098479
2023-07-31,39.19067,37.105226,36.251836999999995,35.83466,35.413568,41.293295,47.588858,56.002382,64.359512,60.188048,58.078835,66.45958999999999,64.39157,62.295101,55.999511,66.47321600000001,66.462272,62.301752,66.480542,64.367171,70.680221,64.38841099999999,58.083893,55.991806999999994,1335.681948
2023-08-01,39.213134,37.101482000000004,36.265643,35.835434,35.414324,41.314175,47.647268,56.077244,64.476575,60.289604000000004,58.165064,66.61943,64.48045400000001,62.386027999999996,56.051765,66.58863199999999,66.604796,62.389439,66.59716399999999,64.47844699999999,70.79252299999999,64.493117,58.159403,56.051351000000004,1337.4924959999998
2023-08-02,39.208715,37.104362,36.256247,35.837270000000004,35.415467,41.344325,47.671424,56.103479,64.577051,60.334829,58.210747999999995,66.68342,64.57821200000001,62.468576,56.124818000000005,66.681062,66.717692,62.43938,66.71358799999999,64.56678199999999,70.89316099999999,64.57480100000001,58.222718,56.131460000000004,1338.859587
2023-08-03,39.234671,37.118699,36.275417000000004,35.848295,35.422990999999996,41.372081,47.725352,56.166983,64.677248,60.433532,58.303745,66.786731,64.70566099999999,62.547956,56.185801999999995,66.81479300000001,66.777299,62.542682,66.7448,64.681631,71.047889,64.649159,58.30756099999999,56.200202,1340.57118
2023-08-04,39.252581,37.124252,36.266515999999996,35.840627,35.422649,41.372171,47.748275,56.265865999999995,64.749401,60.512561,58.380010999999996,66.907214,64.78114400000001,62.622521,56.267027,66.872996,66.880268,62.665145,66.886613,64.782944,71.142173,64.740698,58.396148,56.254337,1342.1341380000001
2023-08-05,40.115339,37.548179000000005,36.526436000000004,36.017297,35.505728000000005,42.676406,50.348366,60.566722999999996,70.839044,65.666132,63.145007,73.42309700000001,70.84031300000001,68.25557599999999,60.614207,73.413422,73.392479,68.257988,73.37528,70.834958,78.506018,70.827236,63.171737,60.623467999999995,1444.490436
2023-08-06,40.130224999999996,37.560338,36.532817,36.02402,35.513135,42.689375,50.384491999999995,60.671437999999995,70.96214599999999,65.783447,63.240641,73.503107,70.920782,68.38756099999999,60.692642,73.53916100000001,73.501991,68.366969,73.52656999999999,70.957502,78.662102,70.980614,63.236393,60.676883000000004,1446.444351
2023-08-07,39.295061,37.144358,36.286577,35.851859000000005,35.42075,41.432795,47.872763,56.449988,65.033774,60.779393,58.613093,67.182542,65.07692,62.898515,56.461967,67.191497,67.202072,62.886193999999996,67.204277,65.037959,71.495135,65.064446,58.59062900000001,56.471444,1346.944008
2023-08-08,39.303044,37.143197,36.286397,35.855396,35.419256000000004,41.45885,47.909231,56.526065,65.139317,60.830162,58.684858999999996,67.33033999999999,65.132927,62.997929,56.522384,67.29579799999999,67.308101,62.99410400000001,67.27210099999999,65.17097,71.58617,65.142449,58.66446500000001,56.533454,1348.506966
2023-08-09,39.321881,37.151126000000005,36.30041,35.868185,35.430992,41.480927,47.960387,56.605652,65.268764,60.90731,58.779962,67.399532,65.22533899999999,63.08626399999999,56.589128,67.416497,67.41124099999999,63.10583,67.398443,65.24709200000001,71.71868599999999,65.243348,58.732847,56.599388,1350.249231
2023-08-10,39.328595,37.160315,36.296414,35.866403,35.429992999999996,41.505299,47.990591,56.669723,65.304521,60.996077,58.81664599999999,67.479164,65.316581,63.151685,56.672053999999996,67.494545,67.497704,63.161711000000004,67.501673,65.352716,71.835875,65.327822,58.815134,56.660858000000005,1351.632099
2023-08-11,39.346163000000004,37.171349,36.299411,35.862092000000004,35.431585999999996,41.511815,48.03866,56.750722999999994,65.427029,61.059976999999996,58.892605999999994,67.612166,65.416139,63.247175,56.749058,67.60574,67.591295,63.238597999999996,67.587812,65.406176,71.951183,65.395709,58.923242,56.700152,1353.215856
2023-08-12,40.227992,37.602323,36.561428,36.040391,35.523719,42.852644,50.696945,61.147403,71.642528,66.393215,63.769228999999996,74.233628,71.620982,69.011864,61.171622,74.232692,74.237489,69.018371,74.251871,71.633321,79.421447,71.599175,63.773873,61.177058,1457.8412099999998
2023-08-13,40.253434999999996,37.620359,36.565720999999996,36.051731000000004,35.521838,42.865424000000004,50.732576,61.26713,71.739629,66.49096399999999,63.864773,74.376071,71.756621,69.114734,61.235170999999994,74.357963,74.389049,69.130583,74.367107,71.725004,79.535621,71.75726,63.861388999999996,61.222579999999994,1459.802733
2023-08-14,39.391649,37.187477,36.313523,35.870309,35.432531,41.574167,48.167567000000005,56.915738,65.718386,61.322957,59.140204999999995,67.913297,65.73805999999999,63.517454,56.924386999999996,67.92804799999999,67.889951,63.491804,67.91211799999999,65.683601,72.28150099999999,65.70946699999999,59.120828,56.950343000000004,1358.0953679999998
2023-08-15,39.414923,37.196477,36.315404,35.875331,35.432243,41.595623,48.1913,57.00968,65.771981,61.419959,59.208632,68.00461999999999,65.80556899999999,63.59471,57.010526,68.017094,67.989815,63.591362000000004,67.998581,65.81087,72.397727,65.82804200000001,59.21396899999999,57.027778999999995,1359.722217
2023-08-16,39.416993,37.197017,36.332909,35.883691999999996,35.438857999999996,41.619518,48.253382,57.055921999999995,65.906792,61.465588999999994,59.229557,68.098094,65.885561,63.681326,57.077864,68.127353,68.110208,63.70433,68.061977,65.913119,72.48365,65.880899,59.267555,57.067442,1361.159607
2023-08-17,39.443974999999995,37.214017999999996,36.32174,35.878057999999996,35.440495999999996,41.648111,48.282047,57.1526,65.997215,61.541477,59.361326,68.214455,65.996648,63.77029099999999,57.148586,68.21428399999999,68.214311,63.769597999999995,68.215769,66.014747,72.67868899999999,65.971169,59.348708,57.138875,1362.977193
2023-08-18,39.439979,37.202777,36.332351,35.882081,35.438867,41.652692,48.308678,57.227075,66.11805799999999,61.646678,59.428366999999994,68.315147,66.087305,63.841184,57.211001,68.30117,68.314769,63.86201,68.286788,66.104369,72.736496,66.06359,59.407694,57.19778,1364.406906
2023-08-19,40.331618,37.674493999999996,36.605618,36.064547000000005,35.529658999999995,43.024598,51.024644,61.741961,72.438326,67.110164,64.397285,75.128813,72.41171299999999,69.774101,61.734482,75.099887,75.06791899999999,69.748028,75.085145,72.434897,80.07592700000001,72.433736,64.40471,61.726786999999995,1471.069059
2023-08-20,40.368167,37.673765,36.599885,36.070595,35.532494,43.028971999999996,51.08696,61.81766,72.543536,67.18917499999999,64.49249599999999,75.206447,72.51432199999999,69.874865,61.827551,75.208328,75.205538,69.873974,75.203648,72.573713,80.146169,72.51943399999999,64.494431,61.822043,1472.874168
2023-08-21,39.468734,37.238417,36.340451,35.889101,35.442386,41.714756,48.44204,57.402457999999996,66.405959,61.87661,59.664455,68.62134499999999,66.37147999999999,64.10424499999999,57.409397,68.62632199999999,68.633072,64.16972,68.642675,66.388697,73.119779,66.39320599999999,59.653961,57.405878,1369.425144
2023-08-22,39.4964,37.238642,36.343754000000004,35.888597000000004,35.436464,41.751197,48.486743,57.496256,66.457439,61.982882000000004,59.708294,68.72596999999999,66.49058600000001,64.200437,57.458213,68.693804,68.725502,64.21428800000001,68.74069399999999,66.469409,73.19603599999999,66.46859,59.714441,57.516731,1370.901369
2023-08-23,39.507731,37.247228,36.351584,35.90468,35.448875,41.751881,48.508271,57.568211000000005,66.573287,62.03392099999999,59.799518,68.805926,66.572765,64.31111899999999,57.518513,68.81021,68.85362599999999,64.312631,68.789447,66.562622,73.31134399999999,66.56813,59.797349,57.550337,1372.459206
2023-08-24,39.517127,37.259963,36.35207,35.899946,35.450216,41.773894999999996,48.56714,57.604022,66.632948,62.149499,59.858603,68.91902,66.671423,64.372346,57.608477,68.933483,68.91596899999999,64.383668,68.901596,66.675311,73.453949,66.667922,59.879123,57.623813,1374.0715289999998
2023-08-25,39.536657,37.265209999999996,36.359513,35.899496,35.445581000000004,41.809166,48.608315000000005,57.667562,66.73063400000001,62.224379,59.970535999999996,69.015374,66.750722,64.4813,57.68909,69.028118,68.98759100000001,64.490696,69.03251,66.76157599999999,73.609118,66.759173,59.975918,57.683212999999995,1375.781448
2023-08-26,40.473566,37.721464999999995,36.625985,36.087011000000004,35.540341999999995,43.188227,51.368083999999996,62.303543000000005,73.198736,67.758866,65.007611,75.945221,73.204397,70.493435,62.310697999999995,75.947525,75.92624,70.480142,75.931541,73.209698,80.46620300000001,73.208663,65.014505,62.287199,1483.698903
2023-08-27,40.477454,37.736063,36.645758,36.087902,35.541269,43.214111,51.425666,62.366867,73.333331,67.852457,65.136671,76.042664,73.31858,70.56696500000001,62.376065,76.06821500000001,76.073633,70.604567,76.059917,73.344266,80.520038,73.334672,65.08816999999999,62.389016,1485.604317
2023-08-28,39.560534000000004,37.286108,36.369521,35.916668,35.446841,41.85224,48.725468,57.901787,67.019939,62.474552,60.158519,69.315371,67.04937799999999,64.731167,57.878819,69.308675,69.330896,64.763018,69.29411300000001,67.06169,73.93283,67.03995499999999,60.140924000000005,57.844943,1380.403956
2023-08-29,39.580145,37.292795,36.378719000000004,35.918981,35.457335,41.877098000000004,48.774770000000004,57.970763,67.128983,62.531783,60.253217,69.43762699999999,67.12091000000001,64.861586,57.966335,69.44115500000001,69.394013,64.838303,69.38385199999999,67.153247,74.006657,67.17010400000001,60.24812300000001,57.943376,1382.129877
2023-08-30,39.607199,37.300418,36.375164,35.918701999999996,35.457983,41.907995,48.820211,58.002055999999996,67.202657,62.613449,60.348833,69.548669,67.223636,64.933064,58.028282000000004,69.515243,69.538976,64.92994999999999,69.5312,67.224851,74.125709,67.23240200000001,60.329123,57.995864,1383.711636
